City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
132,Ribeira Grande,PT,2021-10-22 18:52:31,38.5167,-28.7,72.0,73,20,9.22,few clouds
133,Collecchio,IT,2021-10-22 18:52:31,44.754,10.2184,59.36,99,0,3.91,clear sky
134,Santana Do Livramento,BR,2021-10-22 18:52:32,-30.8908,-55.5328,74.17,50,0,7.74,clear sky
135,Fort Nelson,CA,2021-10-22 18:52:32,58.8053,-122.7002,38.79,81,90,5.75,overcast clouds
136,Saint-Philippe,RE,2021-10-22 18:49:38,-21.3585,55.7679,74.79,82,24,7.38,few clouds
137,Ravar,IR,2021-10-22 18:52:33,31.2656,56.8055,57.83,30,0,4.94,clear sky
138,Thinadhoo,MV,2021-10-22 18:51:43,0.5333,72.9333,83.01,69,45,9.13,scattered clouds
139,Barrow,US,2021-10-22 18:51:42,71.2906,-156.7887,28.42,86,90,3.44,overcast clouds
140,Talnakh,RU,2021-10-22 18:52:34,69.4865,88.3972,16.84,94,100,3.96,overcast clouds
141,Bowen,AU,2021-10-22 18:52:18,-20.0167,148.2333,71.82,82,76,11.65,broken clouds
142,Tshikapa,CD,2021-10-22 18:52:34,-6.4167,20.8,71.37,94,45,1.7,scattered clouds
143,Severo-Kurilsk,RU,2021-10-22 18:50:02,50.6789,156.125,37.22,80,98,10.31,overcast clouds
144,Santa Maria,BR,2021-10-22 18:51:53,-29.6842,-53.8069,79.9,44,0,10.36,clear sky
145,Port Elizabeth,ZA,2021-10-22 18:52:35,-33.918,25.5701,61.11,77,0,5.75,clear sky
146,Port Lincoln,AU,2021-10-22 18:52:36,-34.7333,135.8667,54.16,67,22,14.56,few clouds
147,Victoria,HK,2021-10-22 18:49:20,22.2855,114.1577,68.25,77,90,3.0,overcast clouds
148,Sena Madureira,BR,2021-10-22 18:52:17,-9.0656,-68.6569,91.33,47,100,3.38,overcast clouds
149,Kismayo,SO,2021-10-22 18:52:37,-0.3582,42.5454,78.1,82,30,10.38,scattered clouds
150,Mecca,SA,2021-10-22 18:52:37,21.4267,39.8261,85.06,46,6,4.54,clear sky
151,Bath,GB,2021-10-22 18:47:59,51.3779,-2.3591,53.76,83,13,4.79,few clouds
152,Pauini,BR,2021-10-22 18:52:38,-7.7136,-66.9764,85.5,64,100,3.47,overcast clouds
153,Sanming,CN,2021-10-22 18:52:38,26.2486,117.6186,56.8,94,100,3.0,overcast clouds
154,Yerbogachen,RU,2021-10-22 18:52:38,61.2767,108.0108,32.09,91,87,6.38,overcast clouds
155,Rawah,IQ,2021-10-22 18:52:39,34.4816,41.9093,71.82,23,0,6.64,clear sky
156,Kaitangata,NZ,2021-10-22 18:52:39,-46.2817,169.8464,47.88,91,100,2.44,overcast clouds
157,Henties Bay,NA,2021-10-22 18:52:40,-22.116,14.2845,61.86,87,0,6.6,clear sky
158,Sukhumi,GE,2021-10-22 18:52:40,43.0033,41.0153,58.32,56,0,4.94,clear sky
159,Nanortalik,GL,2021-10-22 18:52:40,60.1432,-45.2371,38.86,97,100,2.28,light rain
160,Ambanja,MG,2021-10-22 18:52:41,-13.6833,48.45,75.15,88,90,1.97,overcast clouds
161,Saskylakh,RU,2021-10-22 18:48:41,71.9167,114.0833,-2.65,100,94,2.84,overcast clouds
162,Presidencia Roque Saenz Pena,AR,2021-10-22 18:52:42,-26.7852,-60.4388,90.68,26,33,9.57,scattered clouds
163,Neryungri,RU,2021-10-22 18:52:42,56.6709,124.6491,24.91,89,98,2.95,overcast clouds
164,Provideniya,RU,2021-10-22 18:50:33,64.3833,-173.3,24.55,67,100,11.48,overcast clouds
165,Minab,IR,2021-10-22 18:52:43,27.1467,57.0801,78.3,36,0,4.99,clear sky
166,Dajal,PK,2021-10-22 18:52:43,29.5577,70.3762,81.23,16,0,7.23,clear sky
167,Gravdal,NO,2021-10-22 18:52:43,68.1214,13.5031,39.7,53,100,12.28,overcast clouds
168,Belyy Yar,RU,2021-10-22 18:52:44,53.6039,91.3903,40.89,81,75,8.95,light rain
169,Nome,US,2021-10-22 18:52:44,64.5011,-165.4064,34.16,64,75,11.5,broken clouds
170,Cherskiy,RU,2021-10-22 18:50:24,68.75,161.3,-1.08,99,100,2.55,overcast clouds
171,Planaltina,BR,2021-10-22 18:52:45,-15.4528,-47.6142,77.29,66,78,3.83,broken clouds
172,Esso,RU,2021-10-22 18:52:45,55.9333,158.7,13.06,97,91,5.21,overcast clouds
173,Lebu,CL,2021-10-22 18:50:04,-37.6167,-73.65,54.03,68,6,20.58,clear sky
174,Castro,BR,2021-10-22 18:52:46,-24.7911,-50.0119,73.27,44,2,2.82,clear sky
175,San Luis,AR,2021-10-22 18:52:46,-33.295,-66.3356,72.73,45,44,20.11,scattered clouds
176,Esna,EG,2021-10-22 18:52:47,25.2934,32.554,77.02,34,0,12.73,clear sky
177,Muros,ES,2021-10-22 18:52:47,42.7762,-9.0603,59.09,74,0,12.15,clear sky
178,Guadalupe,MX,2021-10-22 18:50:00,25.6833,-100.25,89.4,77,99,8.59,light rain
179,Necochea,AR,2021-10-22 18:51:10,-38.5473,-58.7368,57.04,79,100,8.75,light rain
180,Austin,US,2021-10-22 18:50:02,30.2672,-97.7431,88.32,60,40,1.99,scattered clouds
181,Jumla,NP,2021-10-22 18:52:48,29.2747,82.1838,49.98,89,10,3.29,clear sky
182,Arraial Do Cabo,BR,2021-10-22 18:49:03,-22.9661,-42.0278,76.96,64,0,13.8,clear sky
183,Mathbaria,BD,2021-10-22 18:52:49,22.2876,89.9593,74.35,82,20,1.21,few clouds
184,Bengkulu,ID,2021-10-22 18:52:49,-3.8004,102.2655,75.69,89,100,3.33,overcast clouds
185,Te Anau,NZ,2021-10-22 18:52:50,-45.4167,167.7167,47.37,91,100,0.67,overcast clouds
186,Macherla,IN,2021-10-22 18:52:50,16.4833,79.4333,74.68,73,13,2.62,few clouds
187,Vila,PT,2021-10-22 18:52:51,42.0304,-8.1588,53.33,79,0,3.98,clear sky
188,Snasa,NO,2021-10-22 18:52:52,64.2457,12.3778,24.35,93,94,1.86,overcast clouds
189,Urdoma,RU,2021-10-22 18:52:52,61.7533,48.5442,38.91,87,13,8.14,few clouds
190,Kirovskiy,RU,2021-10-22 18:52:52,45.0917,133.5136,32.43,74,5,3.27,clear sky
191,San Quintin,MX,2021-10-22 18:52:53,30.4833,-115.95,69.1,68,0,16.26,clear sky
192,Sioux Lookout,CA,2021-10-22 18:52:53,50.1001,-91.917,41.07,81,90,8.05,mist
193,Anamur,TR,2021-10-22 18:51:10,36.0751,32.8369,69.28,45,0,8.12,clear sky
194,Khorol,UA,2021-10-22 18:52:54,49.7837,33.2783,51.75,57,19,3.67,few clouds
195,Viedma,AR,2021-10-22 18:50:55,-40.8135,-62.9967,64.83,24,1,13.09,clear sky
196,Hofn,IS,2021-10-22 18:52:54,64.2539,-15.2082,35.62,93,90,9.22,moderate rain
197,Mmabatho,ZA,2021-10-22 18:52:55,-25.85,25.6333,69.76,24,0,5.75,clear sky
198,Visby,SE,2021-10-22 18:52:55,57.6409,18.296,47.86,56,9,21.12,clear sky
199,Biltine,TD,2021-10-22 18:52:56,14.5333,20.9167,88.93,19,55,12.88,broken clouds
200,Bandarbeyla,SO,2021-10-22 18:52:56,9.4942,50.8122,78.28,76,93,9.35,overcast clouds
201,Qesarya,IL,2021-10-22 18:52:56,32.5189,34.9046,74.23,63,0,11.5,clear sky
202,Broome,US,2021-10-22 18:49:55,42.2506,-75.833,55.56,69,90,3.0,overcast clouds
203,Roald,NO,2021-10-22 18:52:57,62.5833,6.1333,47.91,66,75,16.11,broken clouds
204,Ancud,CL,2021-10-22 18:52:57,-41.8697,-73.8203,58.42,58,29,14.38,scattered clouds
205,Konevo,RU,2021-10-22 18:52:58,62.1215,39.3192,40.66,86,100,11.43,overcast clouds
206,Shimoda,JP,2021-10-22 18:52:58,34.6667,138.95,53.1,82,44,7.47,scattered clouds
207,Hoopstad,ZA,2021-10-22 18:52:59,-27.8327,25.9083,64.36,24,0,6.17,clear sky
208,Mareeba,AU,2021-10-22 18:49:39,-17.0,145.4333,72.32,95,100,2.26,overcast clouds
209,East London,ZA,2021-10-22 18:52:59,-33.0153,27.9116,61.74,77,0,4.61,clear sky
210,Luderitz,NA,2021-10-22 18:53:00,-26.6481,15.1594,57.04,89,0,7.43,clear sky
211,Luga,RU,2021-10-22 18:53:00,58.7372,29.8453,41.74,71,93,15.21,overcast clouds
212,Jamestown,US,2021-10-22 18:50:34,42.097,-79.2353,52.09,77,90,3.0,overcast clouds
213,Roma,US,2021-10-22 18:53:01,43.2128,-75.4557,54.43,70,100,1.01,overcast clouds
214,Machilipatnam,IN,2021-10-22 18:53:01,16.1667,81.1333,79.68,75,65,2.73,broken clouds
215,Panama City,PA,2021-10-22 18:52:25,8.9936,-79.5197,87.75,71,40,3.44,scattered clouds
216,Kualakapuas,ID,2021-10-22 18:53:02,-3.0091,114.3876,77.16,97,99,1.32,overcast clouds
217,Hambantota,LK,2021-10-22 18:53:02,6.1241,81.1185,75.54,100,20,1.14,few clouds
218,Dodoma,TZ,2021-10-22 18:52:30,-6.1722,35.7395,75.25,45,6,13.0,clear sky
219,Manaure,CO,2021-10-22 18:53:04,11.7751,-72.4445,89.94,54,2,17.36,clear sky
220,Erdenet,MN,2021-10-22 18:53:04,49.0333,104.0833,31.82,48,0,2.98,clear sky
221,Redlands,US,2021-10-22 18:52:15,34.0556,-117.1825,84.94,35,0,5.14,clear sky
222,Ketchikan,US,2021-10-22 18:53:05,55.3422,-131.6461,48.67,91,100,16.53,moderate rain
223,Skibbereen,IE,2021-10-22 18:53:06,51.55,-9.2667,48.0,78,99,12.37,overcast clouds
224,Lensk,RU,2021-10-22 18:53:06,60.7253,114.9278,35.62,86,43,9.66,scattered clouds
225,Cap-Aux-Meules,CA,2021-10-22 18:53:07,47.3821,-61.8597,60.85,88,75,13.8,broken clouds
226,Trairi,BR,2021-10-22 18:49:18,-3.2778,-39.2689,84.67,64,40,13.56,scattered clouds
227,Okhotsk,RU,2021-10-22 18:53:07,59.3833,143.3,20.19,90,100,14.63,overcast clouds
228,Sorong,ID,2021-10-22 18:53:08,-0.8833,131.25,77.88,84,100,5.7,overcast clouds
229,Mar Del Plata,AR,2021-10-22 18:53:09,-38.0023,-57.5575,59.09,89,90,1.01,moderate rain
230,Bonavista,CA,2021-10-22 18:53:09,48.6499,-53.1147,53.6,64,100,4.07,overcast clouds
231,Beringovskiy,RU,2021-10-22 18:53:10,63.05,179.3167,17.53,87,100,15.39,overcast clouds
232,Shingu,JP,2021-10-22 18:53:11,33.7333,135.9833,51.84,81,0,7.65,clear sky
233,Ajaccio,FR,2021-10-22 18:53:11,42.0,8.9167,60.85,77,0,5.75,clear sky
234,Vila Franca Do Campo,PT,2021-10-22 18:53:11,37.7167,-25.4333,70.21,73,58,4.74,broken clouds
235,San Patricio,US,2021-10-22 18:52:09,28.017,-97.5169,88.05,48,99,5.35,overcast clouds
236,Quatre Cocos,MU,2021-10-22 18:50:24,-20.2078,57.7625,75.09,77,94,8.97,overcast clouds
237,Saint-Louis,SN,2021-10-22 18:53:13,16.3333,-15.0,94.64,9,100,9.64,overcast clouds
238,Dandong,CN,2021-10-22 18:53:13,40.1292,124.3947,40.87,65,0,5.3,clear sky
239,Namibe,AO,2021-10-22 18:53:14,-15.1961,12.1522,66.25,71,0,15.88,clear sky
240,Jurado,CO,2021-10-22 18:53:14,7.1053,-77.7641,81.5,77,100,8.19,overcast clouds
241,Tura,IN,2021-10-22 18:53:15,25.5198,90.2201,65.34,78,1,3.74,clear sky
242,Svetlyy,RU,2021-10-22 18:53:15,54.675,20.1347,42.85,67,96,23.11,overcast clouds
243,Mayo,US,2021-10-22 18:50:40,38.8876,-76.5119,71.37,57,40,5.99,scattered clouds
244,Moron,AR,2021-10-22 18:49:45,-34.6534,-58.6198,75.06,60,90,5.99,moderate rain
245,Hobyo,SO,2021-10-22 18:53:16,5.3505,48.5268,79.7,82,19,13.49,few clouds
246,Keuruu,FI,2021-10-22 18:53:16,62.2667,24.7,33.94,97,100,11.83,light snow
247,Caravelas,BR,2021-10-22 18:50:10,-17.7125,-39.2481,75.42,80,99,8.55,overcast clouds
248,Kathmandu,NP,2021-10-22 18:50:36,27.7167,85.3167,64.62,94,75,5.75,broken clouds
249,Nuuk,GL,2021-10-22 18:51:58,64.1835,-51.7216,31.87,45,0,32.99,clear sky
250,Berezovka,BY,2021-10-22 18:53:17,53.7214,25.4993,46.54,59,100,19.15,overcast clouds
251,Puerto Ayacucho,VE,2021-10-22 18:53:18,5.6639,-67.6236,88.48,59,57,1.61,broken clouds
252,Utiel,ES,2021-10-22 18:53:18,39.5667,-1.2,56.23,79,34,4.43,scattered clouds
253,Tuatapere,NZ,2021-10-22 18:53:19,-46.1333,167.6833,50.47,77,100,3.47,overcast clouds
254,Lumding,IN,2021-10-22 18:53:19,25.7535,93.1732,66.61,98,34,0.65,scattered clouds
255,Padang,ID,2021-10-22 18:53:19,-0.9492,100.3543,77.31,88,98,3.85,overcast clouds
256,Gimli,CA,2021-10-22 18:53:20,50.6336,-96.9907,44.44,87,100,5.75,overcast clouds
257,Paamiut,GL,2021-10-22 18:50:17,61.994,-49.6678,35.51,70,66,13.8,broken clouds
258,Portland,US,2021-10-22 18:49:35,45.5234,-122.6762,55.81,93,90,3.0,overcast clouds
259,Tongliao,CN,2021-10-22 18:48:43,43.6125,122.2653,43.41,47,0,6.08,clear sky
260,Panaba,MX,2021-10-22 18:53:21,21.2833,-88.2667,88.81,56,63,8.63,broken clouds
261,Vestmannaeyjar,IS,2021-10-22 18:53:21,63.4427,-20.2734,43.79,100,90,33.38,moderate rain
